Reaction_Time,Accuracy,Matches_Played,Win_Rate,Avg_Damage,Team_Communication,Tilt_Rate,Tournament_Experience,Game_Type,Region,Playstyle,Contract_Signed
295,58,502,92.67678275753568,696,6,0.1973412215727397,5,MOBA,Asia,Aggressive,1
316,56,1176,66.8695392573427,697,5,0.12297238623172113,5,BattleRoyale,Asia,Aggressive,0
145,78,826,50.9514906532781,677,9,0.6150658661014466,2,MOBA,Asia,Balanced,1
187,98,342,58.24487774465925,866,8,0.5188165367217016,7,BattleRoyale,Asia,Aggressive,1
331,78,566,42.60810292317694,792,9,0.5307847949399518,10,MOBA,NA,Balanced,0
271,82,126,67.27951488823551,647,5,0.5382340099039464,10,FPS,Europe,Balanced,0
223,67,111,66.83380131827647,665,8,0.12067520964649103,6,FPS,Asia,Aggressive,1
212,71,197,40.3759238808427,1131,9,0.829794588393568,3,BattleRoyale,NA,Aggressive,1
305,83,1118,56.96340304329584,792,1,0.9505991452381455,7,BattleRoyale,Asia,Balanced,0
262,57,1070,47.30888690159252,559,3,0.6664446799034973,5,FPS,Asia,Defensive,0
143,54,405,88.21163257813123,1125,7,0.7756469442474065,3,BattleRoyale,Europe,Aggressive,1
192,55,613,42.664542273923594,954,3,0.5252006740939947,9,FPS,Asia,Aggressive,0
209,97,198,69.54321799820423,218,6,0.5185904645285625,1,FPS,Asia,Balanced,0
230,87,531,71.60925230014803,243,4,0.3109345031102021,4,BattleRoyale,Asia,Aggressive,0
162,80,1118,69.23992885120983,997,3,0.8169304889036361,1,FPS,NA,Aggressive,0
338,99,1135,54.251729120822546,432,4,0.011418079924551128,1,BattleRoyale,Asia,Aggressive,0
256,79,695,45.89983270259014,507,1,0.5320270361431971,4,MOBA,NA,Aggressive,0
287,83,400,30.536829264434605,528,8,0.8745472978847314,6,FPS,Europe,Balanced,0
188,55,956,43.30435489647708,733,6,0.9334931702219048,9,FPS,Asia,Aggressive,1
296,74,694,82.91484994417723,702,7,0.6686963141985381,6,BattleRoyale,Asia,Balanced,0
247,50,336,48.07004135508695,388,1,0.5862445630644159,8,MOBA,NA,Aggressive,0
255,89,296,64.70848968516549,471,1,0.9938933768002554,6,BattleRoyale,NA,Balanced,0
292,66,108,49.33913804955,456,4,0.06471801997873183,3,FPS,Europe,Balanced,0
120,66,1123,34.17573907771884,664,2,0.2502130362363585,6,FPS,NA,Aggressive,0
195,62,1070,57.39481967478999,834,2,0.4528868354290314,7,FPS,Asia,Aggressive,1
175,72,338,94.50292080587711,887,6,0.44621258020376686,1,FPS,Asia,Balanced,1
126,53,647,56.111602499704745,325,6,0.853376041371325,4,FPS,Asia,Aggressive,1
139,70,579,51.68351670164506,910,5,0.6531777094175686,10,MOBA,Europe,Defensive,1
308,54,432,67.24386606047506,219,9,0.16679127477612388,1,FPS,Asia,Aggressive,0
164,56,872,53.30652898354978,951,1,0.5922389787731108,8,MOBA,NA,Aggressive,1
311,87,61,45.34318918834512,391,2,0.831264904340394,6,FPS,Asia,Aggressive,0
189,64,1001,54.81139861632034,365,6,0.049660613055559244,8,FPS,Europe,Defensive,1
176,56,404,88.51494309798905,601,5,0.07526317268396798,1,FPS,Europe,Balanced,0
272,57,257,39.27555796762872,204,8,0.5489122296649933,6,BattleRoyale,Europe,Defensive,0
303,56,1123,38.51995409425768,399,4,0.4920189589772087,10,MOBA,Asia,Balanced,0
301,97,808,79.0183461560143,1143,4,0.8829392166310659,0,MOBA,Asia,Balanced,0
232,87,913,42.19678870541678,649,1,0.071604364506059,6,MOBA,Asia,Balanced,0
309,83,169,38.50691300397919,1094,4,0.16099129777913257,5,BattleRoyale,Asia,Aggressive,0
312,96,815,45.82094731245271,996,7,0.041159178844898836,2,BattleRoyale,Europe,Balanced,0
154,61,929,87.37262259141897,518,2,0.4120737393282302,2,BattleRoyale,NA,Aggressive,0
176,74,343,91.11864673634759,600,6,0.9963765986202514,10,MOBA,Europe,Defensive,1
321,98,70,90.62662266053678,759,2,0.06001046017381073,1,MOBA,Europe,Aggressive,0
326,65,497,50.401135607962566,1026,6,0.3580299842382244,2,MOBA,Asia,Aggressive,0
158,95,892,88.87477512409882,1009,7,0.03759457731208937,10,FPS,NA,Balanced,1
