Creator_Experience_Years,Videos_Per_Month,Avg_Watch_Time_Min,Content_Quality_Score,Niche_Competition,Thumbnail_ClickRate,Upload_Consistency,Audience_Retention,Ad_CPM,Platform,Content_Type,Audience_Region,Monthly_Revenue
9,16,6.373211884528713,6,0.5530456477234018,14.177251484088904,6,25.828177952548383,2.8615408340705044,Instagram,Gaming,India,4150.435988575247
0,62,12.487305482725919,8,0.3759118710948417,4.169434217261264,7,34.876227389049504,12.872189827909068,YouTube,Education,India,5270.354479879607
11,48,24.80033149298615,8,0.48794183767233656,2.7782828081057973,6,63.63627287926542,8.607819289055621,Twitch,Gaming,Europe,5745.827244040666
1,72,14.653500766632746,1,0.39024864239110246,12.672890340397679,4,33.240445912589465,8.172716458526844,YouTube,Education,US,5168.962760274372
7,52,21.33344147073212,4,0.18140690676657578,1.3515489957511309,3,34.69487808452284,3.5095199475067127,Instagram,Gaming,US,4382.98010280448
1,27,6.585432918768364,8,0.4328281936656959,4.46201606247282,8,60.32035695584537,14.448499096707963,YouTube,Gaming,Europe,5710.9140103723485
7,53,11.377957189284725,1,0.4891055440926553,16.949142777204827,8,90.21075846075736,6.526569719344619,Twitch,Gaming,Europe,5140.724096880854
2,58,17.43500843458183,6,0.2919565481161315,1.0387990438615884,8,89.72882200528838,14.99386092914554,YouTube,Education,US,6115.227423150185
8,12,5.564372507476261,4,0.03434378647719316,5.179331810072448,3,56.120270871918706,7.692440897950792,Instagram,Education,Europe,4555.482109783839
0,11,20.79445850302219,3,0.45922562617147333,10.654162689207599,6,70.19235246044144,12.74875396218795,YouTube,Gaming,Europe,5339.471501332581
0,53,15.825101556999732,3,0.8378730015279301,12.840354318691439,2,84.24066282249126,14.524134464079093,Twitch,Education,India,5261.230020718964
4,31,16.460254052172573,5,0.42743127055061503,11.691445910717107,5,52.62607547015975,9.546794378463746,YouTube,Education,Europe,5578.320579546418
2,4,4.309259339143714,3,0.08933165573339874,3.3032109301644677,5,47.3162623761758,10.950636024737342,YouTube,Vlog,India,3857.0235004128604
1,69,24.175862579005653,3,0.9053075851096738,11.684850812161542,9,83.93113115253924,5.004546285655031,YouTube,Gaming,US,5158.304764251785
10,75,1.7838426315970954,1,0.8657536793302762,9.992190012471001,9,47.402541841147524,12.701477568382556,YouTube,Gaming,Europe,5986.076431281154
5,70,1.2767733844325289,5,0.564158964672677,17.686843620248414,9,77.52158446106282,6.598200184938761,YouTube,Education,India,4683.429625581575
5,78,2.0898629838080263,3,0.7766798886255671,8.843871152454161,2,29.210610298482077,3.72318373422665,Instagram,Gaming,US,4107.536151269616
7,8,12.99232252427003,6,0.47087281665076997,2.0216279330916214,8,93.21856631077364,7.141726401034907,YouTube,Education,Europe,4712.493170374646
4,65,12.19038139421577,1,0.028613560164588492,14.3658426976607,8,74.88457907682569,8.816128527342142,Twitch,Vlog,US,5395.310830033294
1,3,23.23952828083272,1,0.8974511522242941,11.016531216130332,1,89.63043090130867,4.469544333974269,YouTube,Education,India,3160.352936729363
11,78,8.960029980945166,6,0.7424211312903741,17.472270969611234,6,61.14888032064324,10.213796399555424,Twitch,Gaming,India,6094.86370767471
8,76,8.062881979220041,1,0.9524973967681449,16.292101148120565,3,69.68695820657011,2.484218708165826,YouTube,Education,India,4091.5874241857646
8,24,16.621056213846327,5,0.16137673873192115,8.807488478286988,1,36.85283647352984,3.9324395411609867,Instagram,Education,India,4180.805212390328
1,66,12.730579505575633,8,0.4144280868960969,12.595229301764661,3,92.9586604897806,9.101674311207384,Instagram,Gaming,India,4571.036688761218
3,15,17.295422757671435,2,0.6918496890487309,6.0437300815456085,4,26.300163561520662,7.718612711499335,Instagram,Education,Europe,3996.594705130884
6,69,16.388658190476438,4,0.5661792741148794,11.871195001509697,8,54.83542028570246,13.319492408369547,YouTube,Education,Europe,6340.23434317366
11,9,17.884532828785048,8,0.047149349422611064,14.485556710860918,4,77.24476941969067,1.4016058392018174,YouTube,Education,Europe,4848.418506011154
2,32,16.33746797239563,5,0.3871256469256126,17.65062213596619,5,35.07958142429277,4.1586049903511135,YouTube,Vlog,India,4258.198222725137
2,50,1.1367292327905432,7,0.5129309399262443,17.315452027363733,5,57.20259057925022,6.944659071563311,Instagram,Gaming,US,4809.3724583541025
0,10,10.190205121483823,7,0.44033532225726046,13.487493418807025,4,59.49825695644188,2.902944335367239,Twitch,Gaming,Europe,3902.114369337704
